,k,p,class,is_adversarial
0,35.0,0.22247935831546783,314.0,0.0
1,18.0,0.20924152433872223,669.0,0.0
2,73.0,0.368752121925354,180.0,0.0
3,109.0,0.19685226678848267,532.0,0.0
4,17.0,0.0549362450838089,465.0,0.0
5,118.0,0.16547107696533203,990.0,0.0
6,70.0,0.4082019031047821,927.0,0.0
7,14.0,0.2120840698480606,651.0,0.0
8,25.0,0.31177160143852234,717.0,0.0
9,47.0,0.4582386314868927,436.0,0.0
10,27.0,0.3126934766769409,860.0,0.0
11,33.0,0.3660191297531128,669.0,0.0
12,81.0,0.22254425287246704,455.0,0.0
13,117.0,0.16784201562404633,611.0,0.0
14,40.0,0.37885627150535583,767.0,0.0
15,23.0,0.5626559257507324,674.0,0.0
16,34.0,0.11747322231531143,680.0,0.0
17,7.0,0.3829481303691864,789.0,0.0
18,24.0,0.1590365320444107,409.0,0.0
19,95.0,0.35924994945526123,893.0,0.0
20,30.0,0.17916949093341827,669.0,0.0
21,146.0,0.09025190770626068,881.0,0.0
22,14.0,0.44217178225517273,921.0,0.0
23,53.0,0.09933335334062576,856.0,0.0
24,34.0,0.22378377616405487,602.0,0.0
25,84.0,0.1574019193649292,431.0,0.0
26,50.0,0.09812676906585693,974.0,0.0
27,294.0,0.21124239265918732,476.0,0.0
28,25.0,0.3179413378238678,87.0,0.0
29,32.0,0.43889108300209045,85.0,0.0
30,37.0,0.1282561719417572,832.0,0.0
31,34.0,0.34716594219207764,210.0,0.0
32,23.0,0.16865228116512299,588.0,0.0
33,17.0,0.15176409482955933,809.0,0.0
34,83.0,0.1618950068950653,389.0,0.0
35,59.0,0.27892500162124634,668.0,0.0
36,46.0,0.15040598809719086,446.0,0.0
37,33.0,0.0746893361210823,549.0,0.0
38,206.0,0.20647583901882172,559.0,0.0
39,39.0,0.2932642996311188,549.0,0.0
40,21.0,0.07159166038036346,449.0,0.0
41,44.0,0.22376717627048492,680.0,0.0
42,15.0,0.27496692538261414,29.0,0.0
43,55.0,0.09442957490682602,543.0,0.0
44,47.0,0.22627559304237366,519.0,0.0
45,71.0,0.18940144777297974,516.0,0.0
46,43.0,0.1905650794506073,574.0,0.0
47,80.0,0.0735815092921257,398.0,0.0
48,152.0,0.16858582198619843,805.0,0.0
49,118.0,0.08654709160327911,738.0,0.0
50,11.0,0.5140932202339172,26.0,0.0
51,15.0,0.2539762556552887,446.0,0.0
52,19.0,0.24081185460090637,141.0,0.0
53,65.0,0.2313026338815689,317.0,0.0
54,35.0,0.17789524793624878,103.0,0.0
55,31.0,0.131025493144989,860.0,0.0
56,42.0,0.2894124388694763,434.0,0.0
57,33.0,0.160527765750885,6.0,0.0
58,10.0,0.058870308101177216,896.0,0.0
59,54.0,0.16525597870349884,720.0,0.0
60,23.0,0.1253516674041748,611.0,0.0
61,122.0,0.32232582569122314,395.0,0.0
62,44.0,0.2834986448287964,659.0,0.0
63,22.0,0.12229464948177338,651.0,0.0
64,28.0,0.27436771988868713,49.0,0.0
65,42.0,0.347942054271698,222.0,0.0
66,100.0,0.37454721331596375,915.0,0.0
67,21.0,0.1158025786280632,557.0,0.0
68,11.0,0.16582299768924713,4.0,0.0
69,96.0,0.0840652585029602,975.0,0.0
70,26.0,0.47168996930122375,969.0,0.0
71,19.0,0.06544728577136993,545.0,0.0
72,11.0,0.29044994711875916,844.0,0.0
73,20.0,0.14299002289772034,556.0,0.0
74,29.0,0.03625788912177086,491.0,0.0
75,11.0,0.09594401717185974,591.0,0.0
76,2.0,0.31309741735458374,556.0,0.0
77,18.0,0.2475334256887436,554.0,0.0
78,14.0,0.04520127549767494,698.0,0.0
79,58.0,0.13817743957042694,973.0,0.0
80,90.0,0.1298677623271942,112.0,0.0
81,22.0,0.19475652277469635,890.0,0.0
82,22.0,0.07320849597454071,73.0,0.0
83,72.0,0.2663935720920563,82.0,0.0
84,4.0,0.5361805558204651,862.0,0.0
85,14.0,0.3858993649482727,107.0,0.0
86,53.0,0.4752928614616394,142.0,0.0
87,32.0,0.4260531961917877,434.0,0.0
88,45.0,0.5111817717552185,743.0,0.0
